Product type,SKU,Supplier name,Location,Customer demographics,Customer segment,Transportation modes,Routes,Price,Availability,Number of products sold,Revenue generated,Manufacturing costs,Costs,Profit margin,Order quantities,Lead time,Order date,Shipping date,Delivery date,Shipping times,Defect rates,Inspection results,Manufacturing lead time,Production volumes,Stock levels,Transportation costs
Skincare,SKU0009,Supplier D,Kolkata,Female,D2C,Sea,Route C,32.52,467,218,7089.36,13.19,2875.42,59.44,315,17,2023-09-25,2023-09-28,2023-10-15,17,0.0398,Pass,5,307,467,282.56
Cosmetics,SKU0056,Supplier E,Mumbai,Unknown,B2B,Road,Route A,96.45,279,73,7040.85,52.22,3812.06,45.86,344,6,2023-09-12,2023-09-16,2023-09-22,6,0.0969,Pass,17,2700,279,127.45
Beauty,SKU0064,Supplier E,Ahmedabad,Non-binary,B2B,Sea,Route B,18.35,107,18,330.3,9.57,172.26,47.85,358,20,2023-06-19,2023-06-20,2023-07-10,20,0.0092,Fail,5,1842,107,56.8
Healthcare,SKU0071,Supplier E,Delhi,Male,B2C,Rail,Route C,86.73,72,47,4076.31,35.42,1664.74,59.16,307,6,2024-01-23,2024-01-27,2024-02-02,6,0.0313,Pass,3,2742,72,439.74
Skincare,SKU0058,Supplier A,Ahmedabad,Male,B2B,Rail,Route B,20.36,265,78,1588.08,13.3,1037.4,34.68,428,27,2023-11-20,2023-11-21,2023-12-18,27,0.0737,Fail,6,709,265,397.54
Healthcare,SKU0012,Supplier E,Kolkata,Unknown,B2C,Sea,Route A,59.17,492,283,16745.11,31.55,8928.65,46.68,354,1,2023-11-08,2023-11-13,2023-11-14,1,0.0015,Pass,3,3591,492,293.9
Beauty,SKU0072,Supplier D,Hyderabad,Male,B2B,Air,Route A,110.23,45,41,4519.43,37.56,1539.96,65.93,419,6,2024-04-29,2024-05-02,2024-05-08,6,0.0977,Fail,5,1879,45,384.27
Haircare,SKU0071,Supplier C,Chennai,Male,B2B,Rail,Route A,113.52,126,24,2724.48,71.17,1708.08,37.31,428,28,2024-06-18,2024-06-21,2024-07-19,28,0.0861,Pass,19,4238,126,375.55
Skincare,SKU0079,Supplier A,Chennai,Unknown,B2B,Rail,Route A,97.46,169,167,16275.82,63.45,10596.15,34.9,485,7,2023-07-20,2023-07-22,2023-07-29,7,0.0199,Pass,3,4264,169,56.19
Haircare,SKU0006,Supplier A,Pune,Female,B2C,Road,Route C,16.19,289,202,3270.38,6.25,1262.5,61.4,210,29,2023-05-07,2023-05-11,2023-06-09,29,0.0425,Fail,18,1626,289,352.79
Healthcare,SKU0075,Supplier E,Pune,Female,D2C,Air,Route A,126.58,37,18,2278.44,65.53,1179.54,48.23,223,4,2024-05-09,2024-05-14,2024-05-18,4,0.0933,Pass,8,1114,37,228.85
Skincare,SKU0065,Supplier E,Hyderabad,Non-binary,B2C,Sea,Route B,112.0,237,7,784.0,52.75,369.25,52.9,439,19,2024-01-29,2024-02-02,2024-02-21,19,0.0771,Pass,9,4127,237,409.87
Skincare,SKU0053,Supplier B,Bangalore,Female,B2B,Air,Route C,58.43,181,36,2103.48,35.93,1293.48,38.51,307,9,2024-06-08,2024-06-11,2024-06-20,9,0.0035,Pass,13,841,181,333.61
Haircare,SKU0091,Supplier C,Bangalore,Male,B2C,Rail,Route C,67.0,419,113,7571.0,41.11,4645.43,38.64,67,28,2023-07-02,2023-07-07,2023-08-04,28,0.0144,Pass,13,3869,419,421.13
Cosmetics,SKU0055,Supplier D,Chennai,Male,B2C,Air,Route A,8.18,259,213,1742.34,4.06,864.78,50.37,373,7,2023-01-14,2023-01-19,2023-01-26,7,0.0056,Pass,3,922,259,144.51
Healthcare,SKU0097,Supplier B,Chennai,Female,B2B,Sea,Route A,108.38,421,241,26119.58,39.43,9502.63,63.62,462,25,2023-06-14,2023-06-17,2023-07-12,25,0.026,Pass,12,2168,421,81.72
Cosmetics,SKU0058,Supplier A,Hyderabad,Unknown,B2B,Sea,Route C,113.28,450,108,12234.24,38.99,4210.92,65.58,118,15,2023-04-15,2023-04-20,2023-05-05,15,0.0685,Pass,14,3615,450,53.58
Healthcare,SKU0054,Supplier D,Pune,Male,D2C,Sea,Route A,69.28,233,22,1524.16,30.59,672.98,55.85,101,25,2023-11-17,2023-11-22,2023-12-17,25,0.0357,Pass,15,2691,233,442.69
Cosmetics,SKU0082,Supplier D,Delhi,Female,B2C,Rail,Route A,122.35,388,35,4282.25,61.45,2150.75,49.78,344,14,2024-01-12,2024-01-17,2024-01-31,14,0.0354,Pass,19,1336,388,154.3
Healthcare,SKU0095,Supplier B,Bangalore,Male,B2C,Sea,Route C,136.02,5,2,272.04,51.35,102.7,62.25,167,13,2024-06-10,2024-06-11,2024-06-24,13,0.0503,Fail,19,3042,5,407.52
Haircare,SKU0075,Supplier B,Bangalore,Unknown,D2C,Air,Route A,93.53,284,238,22260.14,55.07,13106.66,41.12,421,5,2023-09-19,2023-09-20,2023-09-25,5,0.0411,Pass,15,3418,284,153.32
Beauty,SKU0100,Supplier C,Kolkata,Male,D2C,Sea,Route C,5.29,449,133,703.57,1.93,256.69,63.52,338,12,2023-11-05,2023-11-09,2023-11-21,12,0.0515,Pass,13,598,449,205.35
Beauty,SKU0065,Supplier B,Mumbai,Male,B2C,Air,Route A,40.02,137,114,4562.28,15.4,1755.6,61.52,60,4,2023-06-13,2023-06-17,2023-06-21,4,0.0118,Fail,17,246,137,160.41
Haircare,SKU0038,Supplier C,Hyderabad,Male,B2B,Sea,Route B,53.67,381,151,8104.17,25.0,3775.0,53.42,338,8,2023-08-12,2023-08-17,2023-08-25,8,0.0986,Fail,5,548,381,243.02
Beauty,SKU0006,Supplier E,Delhi,Unknown,B2C,Sea,Route A,34.53,353,140,4834.2,10.66,1492.4,69.13,288,22,2023-11-25,2023-11-29,2023-12-21,22,0.0575,Pass,19,4440,353,101.93
Cosmetics,SKU0063,Supplier C,Ahmedabad,Non-binary,D2C,Road,Route A,21.99,412,294,6465.06,8.41,2472.54,61.76,374,24,2023-02-14,2023-02-17,2023-03-13,24,0.0692,Pass,5,916,412,394.16
Beauty,SKU0081,Supplier E,Kolkata,Unknown,B2B,Air,Route C,142.96,192,61,8720.56,81.39,4964.79,43.07,436,17,2023-03-09,2023-03-11,2023-03-28,17,0.0857,Pass,13,2563,192,302.31
Skincare,SKU0004,Supplier A,Bangalore,Male,B2B,Road,Route A,108.62,143,24,2606.88,55.86,1340.64,48.57,370,22,2024-04-15,2024-04-18,2024-05-10,22,0.0723,Pass,18,2572,143,259.27
Haircare,SKU0074,Supplier E,Mumbai,Unknown,B2C,Rail,Route B,75.34,434,117,8814.78,37.99,4444.83,49.58,196,9,2023-08-22,2023-08-25,2023-09-03,9,0.0532,Fail,15,4334,434,434.74
Haircare,SKU0087,Supplier A,Pune,Male,D2C,Road,Route C,15.98,29,24,383.52,6.59,158.16,58.76,243,8,2023-05-02,2023-05-07,2023-05-15,8,0.0016,Pass,8,2863,29,80.14
Healthcare,SKU0038,Supplier C,Mumbai,Non-binary,B2C,Rail,Route B,31.35,359,291,9122.85,17.53,5101.23,44.08,222,15,2023-11-05,2023-11-10,2023-11-25,15,0.0067,Pass,15,2704,359,252.72
Healthcare,SKU0069,Supplier D,Bangalore,Non-binary,D2C,Air,Route B,148.44,19,9,1335.96,48.69,438.21,67.2,255,29,2023-08-14,2023-08-16,2023-09-14,29,0.0446,Fail,6,2990,19,217.64
Haircare,SKU0016,Supplier A,Bangalore,Male,B2C,Air,Route C,100.23,106,95,9521.85,63.4,6023.0,36.75,305,27,2023-02-12,2023-02-13,2023-03-12,27,0.0379,Fail,4,3675,106,267.8
Haircare,SKU0083,Supplier B,Pune,Female,B2B,Sea,Route A,84.52,408,135,11410.2,51.79,6991.65,38.72,478,9,2024-06-08,2024-06-10,2024-06-19,9,0.0584,Pass,19,3526,408,207.59
Healthcare,SKU0097,Supplier B,Kolkata,Non-binary,D2C,Road,Route B,102.32,191,43,4399.76,57.81,2485.83,43.5,432,29,2024-04-17,2024-04-22,2024-05-21,29,0.0387,Pass,19,3571,191,450.68
Healthcare,SKU0043,Supplier B,Ahmedabad,Male,B2C,Road,Route A,115.01,386,276,31742.76,61.13,16871.88,46.85,111,26,2024-01-01,2024-01-03,2024-01-29,26,0.0889,Pass,12,3616,386,120.41
Haircare,SKU0043,Supplier D,Ahmedabad,Non-binary,B2C,Rail,Route A,108.88,53,15,1633.2,40.74,611.1,62.58,286,8,2023-11-10,2023-11-15,2023-11-23,8,0.0589,Pass,14,749,53,146.71
Healthcare,SKU0029,Supplier C,Delhi,Female,D2C,Sea,Route B,78.52,206,79,6203.08,27.75,2192.25,64.66,420,17,2024-03-22,2024-03-25,2024-04-11,17,0.0585,Pass,19,483,206,419.82
Skincare,SKU0100,Supplier D,Hyderabad,Female,D2C,Road,Route B,84.65,238,194,16422.1,33.01,6403.94,61.0,222,6,2023-11-09,2023-11-13,2023-11-19,6,0.0748,Pass,16,1022,238,421.66
Beauty,SKU0034,Supplier E,Delhi,Male,D2C,Rail,Route C,91.32,277,73,6666.36,57.41,4190.93,37.13,328,7,2023-03-20,2023-03-21,2023-03-28,7,0.0777,Pass,7,303,277,492.49
Beauty,SKU0070,Supplier A,Chennai,Unknown,B2B,Sea,Route A,26.84,391,256,6871.04,8.41,2152.96,68.67,454,5,2024-04-28,2024-04-30,2024-05-05,5,0.026,Pass,17,1640,391,449.81
Skincare,SKU0051,Supplier E,Mumbai,Female,D2C,Air,Route C,96.36,301,177,17055.72,63.52,11243.04,34.08,236,16,2024-01-08,2024-01-13,2024-01-29,16,0.0323,Pass,9,4299,301,281.39
Beauty,SKU0023,Supplier D,Bangalore,Male,B2B,Rail,Route A,101.68,401,257,26131.76,53.96,13867.72,46.93,305,8,2023-05-30,2023-06-03,2023-06-11,8,0.0249,Pass,14,398,401,485.27
Healthcare,SKU0030,Supplier C,Hyderabad,Unknown,B2C,Rail,Route A,140.37,90,60,8422.2,68.27,4096.2,51.36,400,10,2023-02-13,2023-02-15,2023-02-25,10,0.0006,Pass,15,2950,90,68.16
Healthcare,SKU0091,Supplier C,Mumbai,Female,B2C,Rail,Route B,8.25,186,148,1221.0,2.52,372.96,69.45,353,19,2024-06-17,2024-06-20,2024-07-09,19,0.0406,Pass,8,3586,186,190.49
Cosmetics,SKU0049,Supplier A,Chennai,Non-binary,B2C,Rail,Route B,115.83,113,48,5559.84,73.53,3529.44,36.52,284,4,2023-08-17,2023-08-22,2023-08-26,4,0.0039,Fail,5,4904,113,52.41
Cosmetics,SKU0057,Supplier A,Bangalore,Non-binary,B2B,Air,Route A,130.34,137,82,10687.88,72.38,5935.16,44.47,68,25,2023-06-19,2023-06-21,2023-07-16,25,0.0069,Pass,12,672,137,249.03
Beauty,SKU0085,Supplier C,Mumbai,Male,B2C,Rail,Route B,61.44,275,47,2887.68,27.75,1304.25,54.83,232,19,2023-08-24,2023-08-28,2023-09-16,19,0.0868,Pass,7,3734,275,328.34
Beauty,SKU0083,Supplier E,Bangalore,Male,B2B,Air,Route A,69.24,49,3,207.72,40.58,121.74,41.39,458,22,2024-02-25,2024-02-26,2024-03-19,22,0.0804,Pass,13,3061,49,276.8
Cosmetics,SKU0008,Supplier A,Bangalore,Unknown,D2C,Road,Route C,57.55,181,119,6848.45,31.81,3785.39,44.73,392,23,2023-06-20,2023-06-23,2023-07-16,23,0.0925,Pass,11,2605,181,360.9
Haircare,SKU0058,Supplier A,Delhi,Female,B2C,Air,Route C,85.43,320,63,5382.09,31.76,2000.88,62.82,455,7,2024-04-27,2024-05-01,2024-05-08,7,0.0599,Pass,17,4288,320,254.83
Beauty,SKU0022,Supplier E,Chennai,Female,B2C,Rail,Route A,142.57,433,111,15825.27,82.67,9176.37,42.01,317,1,2023-12-17,2023-12-21,2023-12-22,1,0.061,Pass,8,2790,433,254.69
Healthcare,SKU0067,Supplier A,Delhi,Male,B2B,Rail,Route C,97.66,89,12,1171.92,61.87,742.44,36.65,371,13,2024-05-31,2024-06-04,2024-06-17,13,0.0584,Pass,13,3023,89,464.59
Cosmetics,SKU0012,Supplier A,Mumbai,Unknown,D2C,Rail,Route B,56.46,149,147,8299.62,22.15,3256.05,60.77,258,8,2024-05-08,2024-05-10,2024-05-18,8,0.0067,Pass,18,1041,149,323.08
Healthcare,SKU0030,Supplier E,Pune,Male,B2C,Air,Route B,100.56,6,4,402.24,38.08,152.32,62.13,230,27,2024-05-08,2024-05-12,2024-06-08,27,0.0886,Pass,11,4374,6,410.03
Skincare,SKU0037,Supplier B,Mumbai,Male,D2C,Road,Route C,9.35,233,208,1944.8,5.12,1064.96,45.24,256,15,2024-02-23,2024-02-26,2024-03-12,15,0.0603,Pass,16,3956,233,431.32
Cosmetics,SKU0049,Supplier A,Kolkata,Non-binary,B2B,Air,Route B,128.62,349,10,1286.2,49.43,494.3,61.57,339,2,2023-07-30,2023-08-02,2023-08-04,2,0.0071,Fail,8,2875,349,263.73
Cosmetics,SKU0069,Supplier C,Chennai,Non-binary,D2C,Rail,Route A,19.64,51,14,274.96,13.63,190.82,30.6,345,5,2024-03-09,2024-03-14,2024-03-19,5,0.053,Pass,14,2203,51,101.49
Skincare,SKU0023,Supplier E,Ahmedabad,Non-binary,B2C,Sea,Route C,27.56,394,109,3004.04,8.49,925.41,69.19,187,8,2024-01-15,2024-01-20,2024-01-28,8,0.022,Fail,19,736,394,165.41
Skincare,SKU0096,Supplier B,Mumbai,Male,B2B,Rail,Route B,48.86,35,25,1221.5,29.84,746.0,38.93,215,22,2023-08-24,2023-08-28,2023-09-19,22,0.0898,Pass,4,4226,35,439.1
Cosmetics,SKU0021,Supplier E,Kolkata,Female,B2C,Rail,Route A,48.85,475,95,4640.75,29.91,2841.45,38.77,177,5,2024-02-03,2024-02-04,2024-02-09,5,0.0478,Pass,5,3283,475,114.84
Healthcare,SKU0048,Supplier C,Delhi,Unknown,B2C,Sea,Route C,30.27,342,144,4358.88,12.79,1841.76,57.75,362,1,2023-03-23,2023-03-28,2023-03-29,1,0.046,Pass,4,876,342,371.83
Cosmetics,SKU0082,Supplier A,Bangalore,Female,D2C,Sea,Route A,32.66,88,47,1535.02,19.95,937.65,38.92,448,18,2024-05-21,2024-05-25,2024-06-12,18,0.0667,Pass,17,1626,88,139.66
Healthcare,SKU0079,Supplier E,Delhi,Female,D2C,Road,Route A,126.82,336,31,3931.42,38.85,1204.35,69.37,131,9,2023-06-23,2023-06-24,2023-07-03,9,0.094,Pass,11,546,336,261.89
Healthcare,SKU0046,Supplier C,Pune,Male,D2C,Road,Route A,86.14,37,18,1550.52,55.47,998.46,35.6,67,28,2024-02-09,2024-02-13,2024-03-12,28,0.0361,Pass,9,3879,37,105.45
Cosmetics,SKU0045,Supplier C,Hyderabad,Unknown,B2C,Road,Route B,65.34,223,61,3985.74,44.47,2712.67,31.94,278,8,2023-10-11,2023-10-13,2023-10-21,8,0.0196,Pass,15,1981,223,279.57
Beauty,SKU0072,Supplier D,Mumbai,Non-binary,B2B,Sea,Route C,131.09,309,131,17172.79,58.84,7708.04,55.11,209,28,2023-03-16,2023-03-21,2023-04-18,28,0.0553,Pass,8,319,309,175.74
Cosmetics,SKU0049,Supplier C,Ahmedabad,Unknown,D2C,Rail,Route C,28.97,450,130,3766.1,19.16,2490.8,33.86,145,13,2024-05-10,2024-05-12,2024-05-25,13,0.0407,Pass,10,2394,450,467.21
Healthcare,SKU0034,Supplier D,Mumbai,Female,B2C,Rail,Route B,87.83,184,5,439.15,59.33,296.65,32.45,305,14,2023-03-11,2023-03-15,2023-03-29,14,0.0253,Pass,19,926,184,89.16
Cosmetics,SKU0090,Supplier E,Kolkata,Male,B2C,Sea,Route A,127.54,254,68,8672.72,49.51,3366.68,61.18,303,20,2023-09-27,2023-09-29,2023-10-19,20,0.0673,Pass,9,4578,254,284.03
Cosmetics,SKU0041,Supplier B,Ahmedabad,Female,D2C,Air,Route B,43.17,12,12,518.04,23.78,285.36,44.92,254,10,2023-12-29,2023-12-31,2024-01-10,10,0.0793,Pass,6,4676,12,154.43
Beauty,SKU0034,Supplier B,Delhi,Female,D2C,Sea,Route A,85.38,460,272,23223.36,57.06,15520.32,33.17,158,24,2023-07-31,2023-08-02,2023-08-26,24,0.0486,Pass,10,1899,460,475.1
Healthcare,SKU0087,Supplier A,Mumbai,Male,B2C,Sea,Route C,139.06,110,58,8065.48,67.66,3924.28,51.34,238,13,2024-05-19,2024-05-24,2024-06-06,13,0.0468,Pass,4,2905,110,119.52
Haircare,SKU0063,Supplier D,Chennai,Unknown,B2B,Air,Route A,67.35,400,285,19194.75,30.33,8644.05,54.97,287,7,2023-07-07,2023-07-12,2023-07-19,7,0.0935,Pass,15,1747,400,422.4
Cosmetics,SKU0070,Supplier D,Ahmedabad,Unknown,D2C,Air,Route B,54.36,423,115,6251.4,27.39,3149.85,49.61,102,15,2023-02-03,2023-02-08,2023-02-23,15,0.0911,Pass,3,1948,423,72.61
Healthcare,SKU0041,Supplier E,Ahmedabad,Unknown,D2C,Road,Route B,68.54,181,110,7539.4,41.23,4535.3,39.85,257,1,2023-01-09,2023-01-10,2023-01-11,1,0.0796,Pass,17,1604,181,156.87
Haircare,SKU0024,Supplier E,Chennai,Unknown,D2C,Sea,Route B,117.14,440,71,8316.94,52.94,3758.74,54.81,281,27,2023-09-27,2023-09-29,2023-10-26,27,0.0173,Pass,13,2762,440,139.93
Beauty,SKU0027,Supplier D,Pune,Unknown,B2C,Rail,Route A,23.2,272,220,5104.0,15.58,3427.6,32.84,439,21,2024-03-05,2024-03-08,2024-03-29,21,0.0566,Pass,8,592,272,214.65
Cosmetics,SKU0013,Supplier B,Delhi,Unknown,B2B,Air,Route C,124.89,309,199,24853.11,58.38,11617.62,53.25,393,9,2023-10-04,2023-10-06,2023-10-15,9,0.0283,Fail,4,1186,309,63.55
Beauty,SKU0023,Supplier D,Kolkata,Non-binary,B2C,Sea,Route B,11.02,358,155,1708.1,6.3,976.5,42.83,77,27,2024-03-07,2024-03-11,2024-04-07,27,0.0611,Pass,7,3897,358,431.65
Cosmetics,SKU0051,Supplier E,Kolkata,Female,B2C,Rail,Route C,45.23,298,163,7372.49,25.84,4211.92,42.87,154,26,2023-04-12,2023-04-14,2023-05-10,26,0.0456,Pass,16,1478,298,206.1
Healthcare,SKU0034,Supplier D,Hyderabad,Non-binary,B2B,Rail,Route A,25.63,183,27,692.01,17.86,482.22,30.32,146,1,2024-01-05,2024-01-08,2024-01-09,1,0.0089,Pass,10,4667,183,470.97
Haircare,SKU0074,Supplier E,Delhi,Non-binary,D2C,Rail,Route C,59.01,387,136,8025.36,31.75,4318.0,46.2,424,15,2023-06-28,2023-07-01,2023-07-16,15,0.0163,Pass,4,1373,387,485.63
Skincare,SKU0079,Supplier A,Pune,Female,D2C,Sea,Route B,5.73,117,105,601.65,3.45,362.25,39.79,59,9,2023-10-21,2023-10-25,2023-11-03,9,0.0751,Pass,7,2077,117,129.74
Cosmetics,SKU0010,Supplier E,Pune,Female,B2C,Sea,Route C,141.52,112,14,1981.28,80.02,1120.28,43.46,331,3,2023-03-23,2023-03-25,2023-03-28,3,0.0212,Pass,14,4282,112,372.7
Haircare,SKU0035,Supplier C,Pune,Unknown,B2B,Air,Route A,48.33,367,128,6186.24,18.07,2312.96,62.61,427,22,2024-03-31,2024-04-03,2024-04-25,22,0.0191,Fail,19,727,367,321.71
Beauty,SKU0096,Supplier B,Chennai,Unknown,B2B,Road,Route A,22.38,445,293,6557.34,9.4,2754.2,58.0,485,29,2023-03-23,2023-03-25,2023-04-23,29,0.0493,Pass,7,2217,445,380.25
Skincare,SKU0004,Supplier E,Kolkata,Male,B2C,Air,Route A,135.85,111,107,14535.95,72.35,7741.45,46.74,198,15,2024-02-11,2024-02-16,2024-03-02,15,0.0015,Pass,10,1786,111,419.44
Skincare,SKU0032,Supplier C,Delhi,Female,D2C,Air,Route A,106.46,39,9,958.14,35.46,319.14,66.69,252,25,2023-10-18,2023-10-22,2023-11-16,25,0.0943,Pass,7,3408,39,410.44
Healthcare,SKU0061,Supplier C,Hyderabad,Unknown,B2B,Air,Route C,15.97,36,28,447.16,8.59,240.52,46.21,498,5,2024-04-23,2024-04-28,2024-05-03,5,0.0067,Pass,13,2111,36,364.87
Cosmetics,SKU0068,Supplier D,Pune,Unknown,D2C,Air,Route A,37.34,422,89,3323.26,15.63,1391.07,58.14,494,13,2024-06-30,2024-07-03,2024-07-16,13,0.0568,Pass,11,714,422,160.81
Skincare,SKU0053,Supplier C,Hyderabad,Male,B2B,Air,Route B,145.61,468,183,26646.63,50.42,9226.86,65.37,394,15,2023-09-24,2023-09-26,2023-10-11,15,0.0144,Pass,10,1736,468,361.41
Haircare,SKU0089,Supplier D,Kolkata,Male,B2C,Sea,Route C,94.03,320,248,23319.44,59.18,14676.64,37.06,258,10,2024-05-18,2024-05-22,2024-06-01,10,0.0359,Pass,5,2128,320,84.4
Beauty,SKU0025,Supplier A,Hyderabad,Unknown,B2B,Air,Route C,120.12,189,174,20900.88,46.08,8017.92,61.64,194,17,2024-02-26,2024-03-02,2024-03-19,17,0.0328,Fail,18,689,189,425.57
Skincare,SKU0034,Supplier D,Delhi,Non-binary,B2C,Sea,Route B,137.37,162,109,14973.33,85.63,9333.67,37.66,359,14,2023-03-23,2023-03-27,2023-04-10,14,0.0381,Pass,15,1876,162,392.85
Beauty,SKU0018,Supplier A,Bangalore,Unknown,B2C,Rail,Route A,44.98,162,59,2653.82,14.87,877.33,66.94,456,6,2023-10-24,2023-10-25,2023-10-31,6,0.0679,Fail,17,3176,162,289.21
Haircare,SKU0007,Supplier A,Bangalore,Non-binary,B2C,Air,Route C,50.21,389,197,9891.37,34.57,6810.29,31.15,322,27,2023-01-23,2023-01-25,2023-02-21,27,0.0656,Pass,16,3050,389,467.65
Skincare,SKU0012,Supplier A,Delhi,Female,B2C,Rail,Route B,65.56,374,18,1180.08,37.85,681.3,42.27,468,11,2023-06-04,2023-06-05,2023-06-16,11,0.0044,Fail,6,1798,374,209.6
Skincare,SKU0090,Supplier C,Ahmedabad,Female,B2B,Sea,Route B,63.47,431,43,2729.21,30.17,1297.31,52.47,376,8,2023-02-02,2023-02-05,2023-02-13,8,0.032,Pass,3,2502,431,164.9
Healthcare,SKU0024,Supplier E,Ahmedabad,Male,B2B,Air,Route B,56.46,140,57,3218.22,21.84,1244.88,61.32,373,14,2023-07-16,2023-07-19,2023-08-02,14,0.0278,Fail,18,4927,140,300.35
Skincare,SKU0026,Supplier B,Kolkata,Unknown,B2C,Sea,Route B,136.55,387,283,38643.65,46.19,13071.77,66.17,185,13,2024-04-16,2024-04-17,2024-04-30,13,0.071,Pass,13,2306,387,276.09
Beauty,SKU0033,Supplier A,Mumbai,Non-binary,B2B,Air,Route A,143.93,44,1,143.93,69.93,69.93,51.41,152,8,2024-05-07,2024-05-10,2024-05-18,8,0.005,Pass,18,4166,44,335.94
Beauty,SKU0002,Supplier D,Hyderabad,Unknown,B2B,Road,Route A,18.25,229,145,2646.25,8.6,1247.0,52.88,109,18,2023-06-21,2023-06-24,2023-07-12,18,0.0677,Pass,15,2810,229,249.76
Cosmetics,SKU0048,Supplier D,Bangalore,Unknown,B2B,Sea,Route C,125.77,389,121,15218.17,56.8,6872.8,54.84,456,29,2023-04-02,2023-04-04,2023-05-03,29,0.0431,Pass,12,3317,389,275.21
Healthcare,SKU0083,Supplier A,Hyderabad,Female,B2C,Air,Route B,41.18,377,95,3912.1,21.79,2070.05,47.09,161,9,2023-06-07,2023-06-12,2023-06-21,9,0.0308,Pass,5,3277,377,447.96
Cosmetics,SKU0094,Supplier C,Ahmedabad,Non-binary,D2C,Air,Route B,5.92,400,95,562.4,2.33,221.35,60.64,438,4,2023-07-17,2023-07-18,2023-07-22,4,0.0324,Fail,8,3462,400,435.74
Healthcare,SKU0072,Supplier D,Ahmedabad,Female,D2C,Air,Route C,142.28,467,149,21199.72,68.54,10212.46,51.83,52,16,2023-10-29,2023-11-03,2023-11-19,16,0.0619,Fail,14,698,467,498.93
Haircare,SKU0036,Supplier C,Ahmedabad,Unknown,B2C,Sea,Route C,71.65,17,16,1146.4,26.69,427.04,62.75,132,27,2023-06-14,2023-06-15,2023-07-12,27,0.0939,Pass,7,3031,17,449.2
Haircare,SKU0100,Supplier D,Kolkata,Male,D2C,Sea,Route C,84.24,29,24,2021.76,44.32,1063.68,47.39,74,28,2024-06-02,2024-06-06,2024-07-04,28,0.0131,Pass,12,1116,29,408.74
Beauty,SKU0085,Supplier C,Mumbai,Female,D2C,Sea,Route B,105.11,93,40,4204.4,56.86,2274.4,45.9,275,25,2024-02-01,2024-02-03,2024-02-28,25,0.0662,Fail,13,1720,93,84.56
Skincare,SKU0013,Supplier C,Mumbai,Female,B2B,Road,Route A,126.07,172,134,16893.38,51.94,6959.96,58.8,307,23,2024-06-19,2024-06-20,2024-07-13,23,0.0265,Pass,12,1077,172,466.91
Healthcare,SKU0013,Supplier D,Delhi,Unknown,D2C,Sea,Route A,12.34,330,271,3344.14,7.94,2151.74,35.66,236,17,2023-02-02,2023-02-07,2023-02-24,17,0.001,Fail,8,4686,330,312.46
Haircare,SKU0002,Supplier B,Mumbai,Unknown,D2C,Road,Route B,49.43,303,297,14680.71,26.02,7727.94,47.36,295,12,2023-08-02,2023-08-06,2023-08-18,12,0.0364,Pass,17,2002,303,294.89
Cosmetics,SKU0091,Supplier D,Hyderabad,Male,D2C,Road,Route B,79.41,62,39,3096.99,50.26,1960.14,36.71,66,28,2023-03-01,2023-03-06,2023-04-03,28,0.0426,Pass,19,4571,62,149.8
Healthcare,SKU0013,Supplier B,Mumbai,Female,B2B,Air,Route C,42.61,7,4,170.44,20.45,81.8,52.01,398,26,2023-08-25,2023-08-30,2023-09-25,26,0.0095,Fail,7,1025,7,331.91
Beauty,SKU0096,Supplier E,Pune,Unknown,D2C,Rail,Route A,45.56,269,70,3189.2,27.5,1925.0,39.64,334,13,2023-04-19,2023-04-24,2023-05-07,13,0.0871,Pass,6,4113,269,200.48
Beauty,SKU0065,Supplier B,Pune,Non-binary,B2C,Sea,Route B,85.15,460,105,8940.75,51.44,5401.2,39.59,334,21,2023-12-12,2023-12-14,2024-01-04,21,0.0805,Fail,8,1287,460,117.16
Skincare,SKU0078,Supplier D,Hyderabad,Unknown,D2C,Sea,Route B,64.12,223,15,961.8,20.13,301.95,68.61,94,18,2023-09-04,2023-09-09,2023-09-27,18,0.0057,Pass,4,3598,223,201.89
Skincare,SKU0001,Supplier D,Pune,Female,B2C,Road,Route B,98.02,220,99,9703.98,41.64,4122.36,57.52,378,22,2023-02-05,2023-02-08,2023-03-02,22,0.0337,Pass,8,3506,220,153.5
Beauty,SKU0003,Supplier B,Hyderabad,Male,B2B,Rail,Route B,124.78,8,3,374.34,45.24,135.72,63.74,175,18,2023-10-10,2023-10-15,2023-11-02,18,0.0397,Pass,6,3136,8,290.82
Beauty,SKU0047,Supplier B,Chennai,Non-binary,B2B,Rail,Route C,148.51,76,41,6088.91,103.27,4234.07,30.46,196,9,2023-09-13,2023-09-15,2023-09-24,9,0.0156,Pass,5,2588,76,126.08
Beauty,SKU0062,Supplier A,Hyderabad,Non-binary,B2B,Rail,Route A,78.53,414,94,7381.82,37.2,3496.8,52.63,187,21,2023-06-27,2023-07-01,2023-07-22,21,0.0768,Pass,19,243,414,242.37
Healthcare,SKU0056,Supplier C,Hyderabad,Male,D2C,Rail,Route A,98.5,422,244,24034.0,34.64,8452.16,64.83,390,11,2024-03-02,2024-03-03,2024-03-14,11,0.0279,Pass,17,405,422,400.78
Haircare,SKU0041,Supplier E,Kolkata,Female,B2B,Rail,Route B,41.77,208,202,8437.54,23.43,4732.86,43.91,230,28,2023-06-03,2023-06-06,2023-07-04,28,0.0195,Pass,4,1231,208,394.41
